Brand,Product_Name,Former_Price,Current_Price,Discount
Ray-Ban,RB7047,,176.0,
Oakley,Plank 2.0,,187.0,
,,,,
Oakley,Socket 5.5,,227.0,
Oakley,Holbrook RX,,187.0,
Oakley,Wheel House,,242.0,
Ray-Ban,RB8908,,276.0,
Ray-Ban,RB7229,222.0,155.4,30%
Oakley,Pitchman R Carbon - Alternate Fit,,297.0,
Ray-Ban,RB6645,,210.0,
Ray-Ban,RB7260,,210.0,
Ray-Ban,RB5154 Clubmaster,,222.0,
Persol,PO3189V,342.0,171.0,50%
Burberry,BE2315,266.0,133.0,50%
Persol,PO3297V,,342.0,
Versace,VE1285,300.0,210.0,30%
Gucci,GG1340O,305.0,259.25,15%
Gucci,GG1221O,605.0,514.25,15%
Kate Spade,Charlee,245.0,171.5,30%
Kate Spade,Lucyann,230.0,161.0,30%
Burberry,BE2417,327.0,228.9,30%
Dolce & Gabbana,DG3415,335.0,234.5,30%
Versace,VE3373U,316.0,221.2,30%
RALPH by Ralph Lauren,RA7158U,141.0,98.7,30%
Ray-Ban,RB7140,,237.0,
Ray-Ban,RB6355,,237.0,
Ralph Lauren,RA7147,141.0,98.7,30%
,,,,
Emporio Armani,EA1170,183.0,128.1,30%
Polo,PH2083,201.0,140.7,30%
Ray-Ban,RB7066,,176.0,
Oakley,Hyperlink,,187.0,
Oakley,Pitchman - Alternate Fit,,255.0,
Ray-Ban,RB7074,,176.0,
Oakley,Hyperlink - Alternate Fit,,187.0,
Oakley,Crosslink Zero,,187.0,
Oakley,Pitchman R,241.0,168.7,30%
Oakley,Wingfold EVR,,318.0,
Oakley,Wingfold EVS,,318.0,
Oakley,Crosslink Zero - Alternate Fit,,187.0,
Ray-Ban,RB3547V Oval,,210.0,
Ray-Ban,RB5356,,222.0,
Ray-Ban,RB6363,,210.0,
Oakley,Limit Switch,,318.0,
Oakley,Socket 5,,227.0,
Oakley,Steel Line S,193.0,96.5,50%
Oakley,Marshal MNP (TruBridge),,242.0,
Ray-Ban,RB5198,277.0,193.9,30%
Ray-Ban,RB8416,,276.0,
Ray-Ban,RB8903,,276.0,
Oakley,Steel Plate,,255.0,
Ray-Ban,RB6396,,222.0,
,,,,
Ray-Ban,RB6397,178.0,89.0,50%
Ray-Ban,RB6489,,210.0,
Ray-Ban,RB8953,223.0,111.5,50%
Ray-Ban,RB8954,223.0,156.1,30%
Oakley,Limit Switch 0.5,,318.0,
Oakley,Gauge 3.1,318.0,222.6,30%
Oakley,Crosslink Youth - Alternate Fit,172.0,137.6,20%
Ray-Ban,RB4340V Wayfarer Ease,,210.0,
Ray-Ban,RB6375,,189.0,
Oakley,Surface Plate,,318.0,
Oakley,Gauge 3.2 Blade,,318.0,
Oakley,Gauge 7.2 Arch (TruBridge),213.0,106.5,50%
Oakley,Fuller,,242.0,
Oakley,Pommel,228.0,159.6,30%
Ray-Ban,RB3582V Round Metal II,,210.0,
Ray-Ban,RB7159,,222.0,
Ray-Ban,RB8955,223.0,111.5,50%
Oakley,Sunder,280.0,196.0,30%
Oakley,Base Plane,,255.0,
Oakley,Chamfer Squared (TruBridge),,242.0,
Oakley,Crosslink Fit - Alternate Fit,,276.0,
Ray-Ban,RB5362,,237.0,
Ray-Ban,RB6414,,189.0,
Ray-Ban,RB7144,,249.0,
,,,,
Ray-Ban,RB8755,,317.0,
Ray-Ban,RB6421,,210.0,
Ray-Ban,RB7153,143.0,71.5,50%
Ray-Ban,RB8757,263.0,184.1,30%
Oakley,Cathode,,227.0,
Oakley,Latch TI,353.0,176.5,50%
Oakley,Cartridge,,318.0,
Oakley,Litebeam (Trubridge),,187.0,
Oakley,Pitchman R Carbon,,297.0,
Ray-Ban,RB3947V - Round Gaze,,210.0,
Oakley,Diecutter RX,199.0,99.5,50%
Ray-Ban,RB5387,,176.0,
Ray-Ban,RB6428,,210.0,
Ray-Ban,RB5296D,,220.0,
Ray-Ban,RB3648V The Marshal,,222.0,
Ray-Ban,RB6434,,210.0,
Oakley,Metalink,,255.0,
Oakley,Plungeline,,187.0,
Oakley,Alias,,187.0,
Oakley,Deadbolt - Ahyris Collection,387.0,270.9,30%
Ray-Ban,RB1971V Icons,179.0,89.5,50%
Ray-Ban,RB3716VM Clubmaster Metal,,237.0,
Ray-Ban,RB5375,,222.0,
,,,,
Ray-Ban,RB6441,,210.0,
Oakley,Top Spinner 4B,,172.0,
Oakley,Tie Bar 0.5,,387.0,
Oakley,Stagebeam,199.0,99.5,50%
Ray-Ban,RB5383,,222.0,
Ray-Ban,RB5383F - Alternate Fit,191.0,133.7,30%
Ray-Ban,RB6444,176.0,123.2,30%
Ray-Ban,RB6448,,210.0,
Ray-Ban,RB1969V,177.0,88.5,50%
Ray-Ban,RB3857V Frank,,210.0,
Ray-Ban,RB6519,189.0,94.5,50%
Ray-Ban,RB7177,,176.0,
Oakley,Wingback Sq,,318.0,
Ray-Ban,RB3447VM,,210.0,
Ray-Ban,RB7144M,,290.0,
Ray-Ban,RB8416M,,237.0,
Ray-Ban,RB5393,,188.0,
Oakley,Activate - Alternate Fit,,215.0,
Oakley,Centerboard,,187.0,
Oakley,Port Bow,,187.0,
Ray-Ban,RB2180V,170.0,85.0,50%
Ray-Ban,RB6465 Jack,,210.0,
Ray-Ban,RB6465F Jack - Alternate Fit,198.0,138.6,30%
,,,,
Ray-Ban,RB7185,,162.0,
Ray-Ban,RB7185F - Alternate Fit,153.0,107.1,30%
Ray-Ban,RB8766,,263.0,
Oakley,Activate,,227.0,
Oakley,Crosslink - Alternate Fit,,187.0,
Oakley,Top Spinner 5B,,172.0,
Oakley,Fuel Line,183.0,91.5,50%
Oakley,Leadline RX,205.0,102.5,50%
Oakley,Seller,318.0,222.6,30%
Oakley,Spindrift RX,,227.0,
Oakley,Tensile,,297.0,
Oakley,Trajectory,,297.0,
Oakley,Volt Drop,227.0,158.9,30%
Oakley,Wire Tap 2.0 RX,,387.0,
Ray-Ban,RB5395,,210.0,
Ray-Ban,RB5398,,210.0,
Ray-Ban,RB5486,198.0,138.6,30%
Ray-Ban,RB6466,,222.0,
Ray-Ban,RB7190,,162.0,
Ray-Ban,RB7192M,,216.0,
Ray-Ban,RB7244,178.0,89.0,50%
Ray-Ban,RB8247V,,479.0,
Oakley,Extender,,208.0,
Oakley,Hex Jector (TruBridge),,187.0,
,,,,
Oakley,Hex Jector - Alternate Fit (TruBridge),,187.0,
